"id","worksite_city","state_Id"
"932","thousand oaks","305"
"933","columbus","310"
"934","aberdeen","341"
"935","juno beach","309"
"936","holtville","305"
"937","coral springs","309"
"938","gainesville","309"
"939","arlington","342"
"940","maplewood","323"
"941","toledo","335"
"942","eden prairie","323"
"943","brookline","329"
"944","ogden","344"
"945","buffalo","332"
"946","waukesha","349"
"947","tomball","343"
"948","issaquah","347"
"949","bloomfield","330"
"950","st. paul","323"
"951","little ferry","330"
"952","livermore","305"
"953","aurora","306"
"954","marietta","310"
"955","mediacom park","332"
"956","bethesda","320"
"957","oak creek","349"
"958","oklahoma city","336"
"959","newton","321"
"960","garland","343"
"961","farmington","344"
"962","nashua","329"
"963","shalimar","309"
"964","university","324"
"965","east peoria","313"
"966","grapevine","343"
"967","auburn","301"
"968","morgantown","348"
"969","moline","313"
"970","snoqualmie","347"
"971","des plaines","313"
"972","covington","318"
"973","alameda","305"
"974","springfield","321"
"975","roseville","305"
"976","santa barbara","305"
"977","williamsburg","346"
"978","deerfield","313"
"979","northborough","321"
"980","woodcliff lake","330"
"981","knoxville","342"
"982","glenallen","346"
"983","fresno","305"
"984","pineville","318"
"985","west houston","343"
"986","enola","338"
"987","warren","330"
"988","greenville","340"
"989","bethlehem","338"
"990","paramus","330"
"991","glenview","313"
"992","norristown","338"
"993","rancho cucamonga","305"
"994","malta","332"
"995","fenton","325"
"996","wilton","307"
"997","maryland heights","325"
"998","worcester","321"
"999","tracy","305"
"1000","newton","330"
"1001","san juan",""
"1002","cincinatti","335"
"1003","audubon","338"
"1004","new providence","330"
"1005","downers grove","313"
"1006","westbury","332"
"1007","bronx","332"
"1008","mason","322"
"1009","ronkonkoma","332"
"1010","chester","346"
"1011","hopkinton","321"
"1012","new braunfels","343"
"1013","sugar land","343"
"1014","florham park","330"
"1015","belmont","321"
"1016","pennington","330"
"1017","exton","338"
"1018","tarrytown","332"
"1019","burlington","315"
"1020","astoria","332"
"1021","harrison","332"
"1022","mokena","313"
"1023","kennesaw","310"
"1024","round lake","313"
"1025","east brunswick","330"
"1026","pekin","313"
"1027","downingtown","338"
"1028","basking ridge","330"
"1029","keene","329"
"1030","alvin","343"
"1031","marquette","322"
"1032","powell","335"
"1033","woodbury","323"
"1034","normal","313"
"1035","greenbelt","320"
"1036","west sacramento","305"
"1037","scarsdale","332"
"1038","rochelle park","330"
"1039","east meadow","332"
"1040","summit","330"
"1041","pleasant valley","332"
"1042","miramar","309"
"1043","calabasas","305"
"1044","lacey?s spring","301"
"1045","augusta","319"
"1046","deerfield beach","309"
"1047","brownsburg","314"
"1048","bristol","338"
"1049","roanoke","343"
"1050","parker","306"
"1051","midland","322"
"1052","norman","336"
"1053","west lafayette","314"
"1054","morgantown, monogalia","348"
"1055","fort mill","340"
"1056","natick","321"
"1057","washington dc",""
"1058","creve coeur","325"
"1059","albuquerque","331"
"1060","overland","316"
"1061","ventura","305"
"1062","roseland","330"
"1063","bloomfield","307"
"1064","mountain house","305"
"1065","richmond hill","332"
"1066","broomfield","306"
"1067","pontiac","322"
"1068","batesville","314"
"1069","williamsville","332"
"1070","san juan capistrano","305"
"1071","montgomeryville","338"
"1072","everett","321"
"1073","petersburg","346"
"1074","rochester","332"
"1075","rensselaer","332"
"1076","o?fallon","325"
"1077","carlisle","338"
"1078","montclair","330"
"1079","north las vegas","328"
"1080","mt. pleasant","349"
"1081","arlington heights","313"
"1082","newtown square","338"
"1083","irmo","340"
"1084","copley","335"
"1085","city of industry","305"
"1086","indian land","340"
"1087","royal city","347"
"1088","warren","322"
"1089","woonsocket","339"
"1090","andover","321"
"1091","gambier","335"
"1092","mountlake terrace","347"
"1093","webster","321"
"1094","morris plains","330"
"1095","bethpage","332"
"1096","brookfield","349"
"1097","foxboro","321"
"1098","south windsor","307"
"1099","northbrook","313"
"1100","eagan","323"
"1101","franklin lakes","330"
"1102","jessup","338"
"1103","prior lake","323"
"1104","frederick","320"
"1105","greenwich","307"
"1106","queens","332"
"1107","goleta","305"
"1108","venice","305"
"1109","annandale","346"
"1110","manassas","346"
"1111","wheaton","313"
"1112","henderson","333"
"1113","dunwoody","310"
"1114","weekhawken","330"
"1115","spring hill","309"
"1116","windsor mill","320"
"1117","midvale","344"
"1118","allendale","330"
"1119","windsor","307"
"1120","englewood cliffs","330"
"1121","sussex","349"
"1122","tysons","346"
"1123","arcadia","305"
"1124","sugarland","343"
"1125","lafayette","318"
"1126","agat",""
"1127","brooklyn","335"
"1128","richland","324"
"1129","neptune","330"
"1130","greenwood","314"
"1131","palm springs","305"
"1132","north quincy","321"
"1133","holland","322"
"1134","miamisburg","335"
"1135","matawan","330"
"1136","los gatos","305"
"1137","red hook","332"
"1138","beltsville","320"
"1139","college grove","342"
"1140","chatham","330"
"1141","long island city","332"
"1142","conway","304"
"1143","the woodlands","343"
"1144","lake forest","305"
"1145","brentwood","305"
"1146","burlington","345"
"1147","ofallon","325"
"1148","iowa city","315"
"1149","madison","314"
"1150","budd lake","330"
"1151","scranton","338"
"1152","vance","301"
"1153","sanjose\t","305"
"1154","bridgewater township","330"
"1155","somerset","330"
"1156","warrensburg","325"
"1157","tallahassee","309"
"1158","la jolla","305"
"1159","loveland","306"
"1160","king of prussia","338"
"1161","wixom","322"
"1162","st. petersburg","309"
"1163","modesto","305"
"1164","largo","320"
"1165","commack","332"
"1166","east greenwich","339"
"1167","sparta","330"
"1168","woodbridge","330"
"1169","rancho cordova,","305"
"1170","indianola","338"
"1171","westlake village","305"
"1172","st. charles","325"
"1173","mesquite","343"
"1174","leesburg","346"
"1175","bothell","347"
"1176","willowbrook","313"
"1177","staten island","332"
"1178","monterey park","305"
"1179","trenton","322"
"1180","chelmsford","321"
"1181","fairless hills","338"
"1182","canton","322"
"1183","fairfield","330"
"1184","saint charles","325"
"1185","chesterbrook","338"
"1186","lehigh","338"
"1187","centerton","304"
"1188","wapakoneta","335"
"1189","winston salem","333"
"1190","jarell","343"
"1191","los alamos","331"
"1192","brighton","322"
"1193","dodgeville","349"
"1194","westwood","321"
"1195","severance","306"
"1196","alliance","335"
"1197","mars","338"
"1198","warren","305"
"1199","tysons corner","346"
"1200","reynoldsburg","335"
"1201","maple grove","323"
"1202","radnor","338"
"1203","columbus","327"
"1204","taos","331"
"1205","shakopee","323"
"1206","west haven","307"
"1207","west des moines","315"
"1208","mankato","323"
"1209","maplewood","330"
"1210","hudson","335"
"1211","antioch","305"
"1212","waller","343"
"1213","simpsonville","340"
"1214","lakeland","309"
"1215","lonetree","306"
"1216","forest lake","323"
"1217","mechanicsville","346"
"1218","glendale","303"
"1219","tustin","305"
"1220","kennedy space center","309"
"1221","cypress","343"
"1222","ontario","305"
"1223","north brunswick","330"
"1224","oldsmar","309"
"1225","munice","314"
"1226","north charleston","340"
"1227","ridgeland","324"
"1228","rochelle","313"
"1229","burlingame","305"
"1230","fayetteville","304"
"1231","norton","321"
"1232","holland","335"
"1233","central islip","332"
"1234","royal oak","322"
"1235","evansville","314"
"1236","salem","337"
"1237","el dorado","305"
"1238","farmington","325"
"1239","mettawa","313"
"1240","strongsville","335"
"1241","dover","329"
"1242","hines","313"
"1243","gettysburg","338"
"1244","monroe","333"
"1245","alexandria","346"
"1246","jupiter","309"
"1247","arlington","343"
"1248","bakersfield","305"
"1249","weslaco","343"
"1250","kansas city","316"
"1251","wichita","316"
"1252","penns grove","330"
"1253","cypress","305"
"1254","wauwatosa","349"
"1255","new hudson","322"
"1256","palm beach gardens","309"
"1257","north andover","321"
"1258","cincinnati (matthews location)","335"
"1259","lutz","309"
"1260","newbury park","305"
"1261","santa clarita","305"
"1262","alhambra","305"
"1263","devon","338"
"1264","bagdad","303"
"1265","playa vista","305"
"1266","conyers","310"
"1267","syosset","332"
"1268","smyrna","310"
"1269","keller","343"
"1270","west burlington","315"
"1271","danbury","307"
"1272","rockly hill","307"
"1273","elkridge","320"
"1274","henrico","346"
"1275","dover","308"
"1276","covina","305"
"1277","bangor","319"
"1278","crystal city","343"
"1279","eugene","337"
"1280","snowmass village","306"
"1281","bloomington","314"
"1282","port angeles","347"
"1283","richland","347"
"1284","manhattan","332"
"1285","charlton","321"
"1286","port washington","332"
"1287","pocaello","312"
"1288","idaho falls","312"
"1289","spartanburg","340"
"1290","euless","343"
"1291","oviedo","309"
"1292","warrington","338"
"1293","media","338"
"1294","delanco","330"
"1295","white bear lake","323"
"1296","chestnut ridge","332"
"1297","n/a","343"
"1298","hendersonville","342"
"1299","mcdonough","310"
"1300","piscataway township","330"
"1301","weymouth","321"
"1302","northfield","313"
"1303","wilsonville","337"
"1304","san francsico","305"
